Monthly income,Gender,Earning individual,Responsibility,Mode of income,Network degree,Marriage status,Risk apetite,Location,Age,SIP,AUM,Redemption amount,Redemption count,Months,Cumulative AUM,% Cumulative AUM,AUM/Months,Monthly AUM,Number,Cumulative months,Months moving average
0-49999,F,Self,No,Salaried,1st,Married,Moderate,other,59,2000,215076.93,54000,3,73,79463562.91,85.43%,2946.259315,3685.985342,98,5841,59.60561789
50000-199999,M,Self,Yes,Business,1st,Married,Moderate,Nagpur,48,2000,213792.06,0,0,70,79677354.97,85.66%,3054.172286,3054.172286,99,5911,59.71061165
0-49999,F,Self,Yes,Business,2nd,Married,Moderate,Nagpur,51,5000,209377.88,0,0,34,79886732.85,85.88%,6158.172941,6158.172941,100,5945,59.45350554
0-49999,F,Self,Yes,Business,1st,Married,Moderate,Nagpur,45,3000,208963.67,175000,2,84,80095696.52,86.11%,2487.662738,4570.996071,101,6029,59.69654013
50000-199999,F,Self,No,Business,2nd,Married,Aggresive,Nagpur,42,5000,208660.49,0,0,34,80304357.01,86.33%,6137.073235,6137.073235,102,6063,59.44461327
50000-199999,M,Self,Yes,Salaried,1st,Married,Aggresive,other,34,1000,207835.32,64710.75,1,92,80512192.33,86.55%,2259.079565,2962.457283,103,6155,59.76068499
50000-199999,F,Self,Yes,Business,1st,Married,Aggresive,Nagpur,47,10000,205564.79,0,0,6,80717757.12,86.77%,34260.79833,34260.79833,104,6161,59.24375532
50000-199999,F,Self,No,Salaried,2nd,Married,Aggresive,Nagpur,75,15000,201535.53,0,0,13,80919292.65,86.99%,15502.73308,15502.73308,105,6174,58.8033386
50000-199999,M,Self,Yes,Salaried,2nd,Married,Aggresive,Nagpur,46,5000,200770.54,0,0,34,81120063.19,87.21%,5905.015882,5905.015882,106,6208,58.56934484
0-49999,M,Self,Yes,Salaried,1st,Married,Moderate,Nagpur,50,1000,200107.2,0,0,20,81320170.39,87.42%,10005.36,10005.36,107,6228,58.20888368
50000-199999,M,Self,Yes,Business,2nd,Married,Moderate,Nagpur,36,0,193836.92,0,0,87,81514007.31,87.63%,2228.010575,2228.010575,108,6315,58.47546809
